start_time,start_lat,start_lon,orig_addr,end_time,end_lat,end_lon,dest_addr,passengers,booster_seat,large_luggage,fare
2019-09-10 09:14:54,50.76945856265584,-1.903250442934461,"Home Road, Bournemouth BH11 9AP, UK",2019-09-10 09:28:49,50.725835683966935,-1.91532571778332,"Tesco, Poole BH12 1AW, UK",2,False,False,13.3
2019-09-19 19:44:00,50.72306005951088,-1.9527730417563904,"Ashley Cross, Poole BH14 0JT, UK",2019-09-19 19:51:43,50.72633810140497,-1.9022906274330271,"Ipswich Road, Bournemouth BH4 9FW, UK",3,False,True,12.6
2019-09-09 09:54:27,50.76800490012007,-1.9335422869511665,"King John Avenue, Bournemouth BH11 9TG, UK",2019-09-09 10:12:31,50.71767385175878,-1.870154078331468,"Russell Cotes Museum, Bournemouth BH1 3AD, UK",1,False,False,18.9
2019-09-09 12:04:53,50.73013862692207,-1.8709981579562036,"Milton Road, Bournemouth BH1 1RW, UK",2019-09-09 12:24:10,50.7864352753193,-1.9648525833989992,"Chichester Walk, Oakley, Wimborne BH21 1SR, UK",2,False,False,21.8
2019-09-21 13:59:51,50.72201329611322,-1.903092909122216,"Post Office, Bournemouth BH4 9AR, UK",2019-09-21 14:11:58,50.73831179385044,-1.8221842630658307,"Petersfield Place, Bournemouth BH7 6QW, UK",1,False,False,15.2
2019-09-16 17:38:11,,,"Poole Hospital, Poole BH15 2HP, UK",2019-09-16 17:52:35,50.767625707753325,-1.8947319955330797,"The Broadway, Bournemouth BH10 7AR, UK",2,False,True,20.3
2019-09-17 06:48:12,50.786516781347466,-1.966824345013296,"Sopwith Crescent, Oakley, Wimborne BH21 1SP, UK",2019-09-17 07:01:40,50.75017718389158,-1.9131557349418364,"Canford Avenue, Bournemouth BH11 8RQ, UK",1,False,False,15.6
2019-09-15 12:16:30,50.751710557919424,-1.8869995643939423,"Ensbury Park Hotel, Bournemouth BH10 4FQ, UK",2019-09-15 12:25:03,50.71964274526084,-1.8869773571449135,"Poole Hill, Bournemouth BH2, UK",1,False,False,10.4
2019-09-11 09:43:33,50.80000067994062,-1.9880287060523325,"The Square (Stop B), Wimborne Minster, Wimborne BH21 1HY, UK",2019-09-11 10:15:30,50.73645154201788,-1.7854467775235177,"Stour Road, Christchurch BH23 1LT, UK",1,False,False,35.0
2019-09-16 09:48:53,50.72918964037328,-1.9449459282050223,"445 Ashley Rd, Poole BH14 0AX, UK",2019-09-16 10:07:30,50.74541628825022,-1.8223841695495249,"Littledown Centre, Bournemouth BH7 7HE, UK",2,False,False,20.6
2019-09-21 23:46:49,50.73762869964718,-1.7531456503340828,"Dennistoun Avenue, Christchurch BH23 3PP, UK",2019-09-21 23:51:08,50.734558328034275,-1.787765140583249,"Manor Road, Christchurch BH23 1LZ, UK",3,False,False,12.9
2019-09-11 20:23:18,50.75089273750801,-1.9538792012179644,"3 Chalbury Cl, Poole BH17 8BQ, UK",2019-09-11 20:35:18,50.7240726541362,-1.892831828185948,"Queens Road, Bournemouth BH4 9HN, UK",1,False,False,14.5
2019-09-16 05:02:03,50.746194045318276,-1.7118696199718155,"Carisbrooke Way, Christchurch BH23 4RA, UK",2019-09-16 05:16:18,50.72825425578028,-1.8381614840005585,"32 Ashley Rd, Bournemouth BH1 4LD, UK",2,False,False,34.5
2019-09-13 00:54:26,50.75480327048432,-1.9185483279575049,"Turbary Common Gate, Bournemouth BH11 8HJ, UK",2019-09-13 01:04:13,50.72107816179771,-1.8835032398451037,"25 Avenue Rd, Bournemouth BH2 5SL, UK",1,False,False,24.1
2019-09-15 04:11:16,50.75249328243208,-1.993554821920596,"Hillbourne Road, Poole BH17 7JB, UK",2019-09-15 04:24:27,50.73013862692207,-1.8709981579562036,"Milton Road, Bournemouth BH1 1RW, UK",1,False,False,33.4
2019-09-14 20:12:49,50.73762869964718,-1.7531456503340828,"Dennistoun Avenue, Christchurch BH23 3PP, UK",2019-09-14 20:44:05,50.75885088018627,-2.0087096315976907,"Gladelands Way, Broadstone BH18 9HU, UK",1,False,False,38.6
2019-09-09 01:48:48,50.750441535262134,-1.8770376775521451,"747 Wimborne Rd, Bournemouth BH9 2BA, UK",2019-09-09 01:54:37,50.722109784582855,-1.8644753154646088,"Lansdowne, Bournemouth BH1 3NA, UK",2,False,False,15.1
2019-09-17 16:37:44,50.72460003785913,-1.8638589620275212,"Unisys, Bournemouth BH8 8DS, UK",2019-09-17 16:57:05,50.762030469525186,-1.9278935467401883,"Knighton Heath Road, Bournemouth BH11 9QU, UK",1,False,False,17.2
2019-09-20 23:04:53,50.733931151565066,-1.8771374945717392,"50 Wimborne Rd, Bournemouth BH3 7AD, UK",2019-09-20 23:07:43,50.74524520211199,-1.8783835491266416,"554 Wimborne Rd, Bournemouth BH9 2ER, UK",1,False,True,11.8
2019-09-13 23:15:08,50.732357048717994,-1.809751852356452,"Burleigh Road, Bournemouth BH6 5AP, UK",2019-09-13 23:30:39,50.75364542760093,-1.9093218612934666,"6 Fernheath Rd, Bournemouth BH11 8SE, UK",1,True,False,38.4
2019-09-10 17:23:51,50.70785501908527,-1.9095799011399464,"Westminster Road, Poole BH13 6JR, UK",2019-09-10 17:33:33,50.724527815857726,-1.8636183309852936,"Unisys, Bournemouth BH8 8AL, UK",1,False,False,11.8
2019-09-21 09:45:29,50.76965024469728,-1.9188062469730771,"Bear Cross, Bournemouth BH11 9BE, UK",2019-09-21 09:57:31,50.80065658989914,-1.9834735355537196,"Police Station, Wimborne Minster, Wimborne BH21 1AN, UK",1,True,False,18.7
2019-09-09 17:55:48,50.78678898165282,-1.8531103204122217,"Viscount Road, Christchurch BH23 6NX, UK",2019-09-09 18:10:28,50.75295721844893,-1.8257720051912183,"Hopkins Close, Bournemouth BH8 0LP, UK",1,False,False,18.4
2019-09-09 20:11:01,50.795332765939676,-1.9818720891726327,"65 Poole Rd, Wimborne BH21 1QB, UK",2019-09-09 20:22:52,50.74198738659346,-1.9475812190185489,"Old Wareham Road, Poole BH12 3JN, UK",5,False,False,23.8
2019-09-19 13:31:19,50.724410451630156,-1.909463134708191,"Eagle Road, Poole BH12 1AB, UK",2019-09-19 13:35:04,50.718193238241895,-1.905324692303781,"58 Alumhurst Rd, Bournemouth BH4 8EN, UK",1,False,False,4.9
2019-09-21 23:58:05,50.75382235701475,-1.8396186514870967,"Yeomans Way, Bournemouth BH8 0BL, UK",2019-09-22 00:07:30,50.76493904634573,-1.9079105318364256,"Durdells Avenue, Bournemouth BH11 9EL, UK",1,False,False,23.0
2019-09-21 20:04:33,50.722516218242596,-1.8660041217263463,"Lansdowne, Bournemouth BH8 8EH, UK",2019-09-21 20:17:46,50.76745448100914,-1.930324201834464,"Co-op Store, Bournemouth BH11 9TE, UK",1,False,False,16.2
2019-09-15 02:48:59,50.74711519222991,-1.8779251515094075,"Police Station, Bournemouth BH9 2EQ, UK",2019-09-15 02:53:20,50.745413869755296,-1.9051565762252776,"Alton Road, Poole, Bournemouth BH12 5DG, UK",1,False,False,13.8
2019-09-09 04:25:32,50.75231354287497,-1.9962907037765425,"Hillbourne Church, Broadstone BH17 7JA, UK",2019-09-09 04:45:19,50.727611998595705,-1.8354576074362765,"Ashley Road, Bournemouth BH7 6BY, UK",1,False,False,44.2
